lead_id,company,niche,city_country,website_or_profile,contact_channel,contact_person_or_role,public_source_url,pain_hypothesis,personalization_angle,offer_fit_score_1_5,status,owner_profile,last_touch_date,next_action,next_action_due,reply_summary,demo_datetime,proposal_package,payment_status,delivery_handoff_status,notes
L001,Dent Alex,стоматология,"Москва, Россия",https://dentalex01.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dentalex01.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L002,Terapiakrasoty — Стоматология,стоматология,"Москва, Россия",https://terapiakrasoty.ru/stomatologia,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://terapiakrasoty.ru/stomatologia,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L003,Авторская профессиональная стоматология SDS-Клиника в Санкт ...,стоматология,"Санкт-Петербург, Россия",https://sdsclinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://sdsclinic.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L004,Архив Наша команда,стоматология,"Москва, Россия",https://belayamagiya-dent.ru/team/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://belayamagiya-dent.ru/team/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L005,Городская стоматология,стоматология,"Казань, Россия",https://www.gorstom.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.gorstom.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L006,Доктор Дрим,стоматология,"Казань, Россия",https://drdream.ru/,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://drdream.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L007,Зубная клиника в Санкт-Петербурге,стоматология,"Санкт-Петербург, Россия",https://zabotadent.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://zabotadent.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L008,Имплантация зубов All-on-4 и All-on-6: зубы за 1 неделю,стоматология,"Москва, Россия",https://agami.ru/services/implantatsiya-all-on-4-i-all-on-6/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://agami.ru/services/implantatsiya-all-on-4-i-all-on-6/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L009,"Профессиональная гигиена полости рта, цены на чистку зубов",стоматология,"Москва, Россия",https://ofs.team/uslugi/professionalnaya-gigiena/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://ofs.team/uslugi/professionalnaya-gigiena/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L010,Сеть платных стоматологических клиник в Санкт-Петербурге ...,стоматология,"Санкт-Петербург, Россия",https://factorsmile.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://factorsmile.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L011,"Стоматологическая клиника ""DENT DESIGN """,стоматология,"Санкт-Петербург, Россия",https://dentdesign-spb.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dentdesign-spb.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L012,Стоматологический центр ортодонтии и гнатологии в Москве...,стоматология,"Москва, Россия",https://ortognatika.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://ortognatika.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L013,Стоматология Dental Mania лечение зубов и имплантация в Москве,стоматология,"Москва, Россия",https://dentalmania.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dentalmania.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L014,Стоматология Денс,стоматология,"Казань, Россия",https://dens-clinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dens-clinic.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L015,Стоматология Зуб.ру,стоматология,"Москва, Россия",https://zub.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://zub.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L016,Стоматология в Санкт-Петербурге Вероника,стоматология,"Санкт-Петербург, Россия",https://veronica.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://veronica.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L017,"Стоматология на Гончарной, 27",стоматология,"Санкт-Петербург, Россия",https://32stoma.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://32stoma.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L018,Стоматология с Улыбкой Time to Smile,стоматология,"Санкт-Петербург, Россия",https://timetosmile.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://timetosmile.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L019,"Услуги стоматологической клиники| г. Москва, N-CLINIC",стоматология,"Москва, Россия",https://n-clinic2016.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://n-clinic2016.ru/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L020,современная стоматологическая клиника в Санкт-Петербурге,стоматология,"Санкт-Петербург, Россия",https://m-stom.com/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://m-stom.com/,"дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи",показать сценарий «услуга/боль → 5 вопросов → удобное время → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L021,Hadassah Moscow,частная клиника,"Москва, Россия",https://hadassah.moscow/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://hadassah.moscow/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L022,Адамант Медицинская Клиника,частная клиника,"Санкт-Петербург, Россия",https://amclinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://amclinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L023,Как записаться на обследование в Медицинский центр...,частная клиника,"Санкт-Петербург, Россия",https://vk.com/wall-172183363_2332,онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-172183363_2332,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L024,Клиника «Будь Здоров» в Москве,частная клиника,"Москва, Россия",https://klinikabudzdorov.ru/,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://klinikabudzdorov.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L025,Клиника «Будь Здоров» в СПб,частная клиника,"Санкт-Петербург, Россия",https://spb.klinikabudzdorov.ru/,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://spb.klinikabudzdorov.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L026,Клиника «Можно». Персонализированная психиатрия...,частная клиника,"Москва, Россия",https://mozhno.clinic/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mozhno.clinic/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L027,Клиника ОСНОВА,частная клиника,"Санкт-Петербург, Россия",https://osnova-clinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://osnova-clinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L028,"Клиника внимательной медицины ""Скандинавия""",частная клиника,"Казань, Россия",https://ava-kazan.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ava-kazan.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L029,Клиника эстетической косметологии Лазерный Доктор,частная клиника,"Санкт-Петербург, Россия",https://laserdoctor.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://laserdoctor.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L030,Лечение тревоги и депрессии в Москве,частная клиника,"Москва, Россия",https://naturemind.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://naturemind.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L031,Медицинский центр «XXI век»,частная клиника,"Санкт-Петербург, Россия",https://mc21.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mc21.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L032,"Медицинский центр «Разумед», Казань",частная клиника,"Казань, Россия",https://razumed.su/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://razumed.su/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L033,Медицинский центр «СМ Клиника»,частная клиника,"Москва, Россия",https://www.smclinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://www.smclinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L034,Медфрендс,частная клиника,"Москва, Россия",https://mfclinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mfclinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L035,Многопрофильный медицинский центр в Москве,частная клиника,"Москва, Россия",https://www.major-clinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.major-clinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L036,Семейная клиника «Доктор АННА»,частная клиника,"Москва, Россия",https://doctor-anna.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://doctor-anna.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L037,Специализированная клиника в Санкт-Петербурге...,частная клиника,"Санкт-Петербург, Россия",https://lmtdoctor.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lmtdoctor.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L038,Частная медицинская клиника в Санкт-Петербурге...,частная клиника,"Санкт-Петербург, Россия",https://medcenter3.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://medcenter3.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
